gene,logFC,AveExpr,P.Value,adj.P.Val,B
Ndrg4,4.002173403032815,2.6559144095864116,8.844415609840172e-09,5.393083427545723e-07,0.0
Cyp7b1,3.216955468640709,1.9563735659470611,8.824813467467105e-09,5.393083427545723e-07,0.0
Ucn2,2.541409837317602,1.4223037470361284,8.913423143377667e-09,5.410568844724498e-07,0.0
Tshz2,6.352801924872923,4.619467392729075,8.99631051328309e-09,5.411906077833752e-07,0.0
Col6a4,3.627982559418116,1.8759441828503396,8.987528075333945e-09,5.411906077833752e-07,0.0
Pknox2,4.461359707489343,3.0730369254404803,9.148811017000991e-09,5.479075883619121e-07,0.0
Apobec1,4.199074145500011,2.555196031237833,9.420997273933866e-09,5.617007930214347e-07,0.0
Lyve1,2.3722624247247817,1.5578777974491498,9.469773642071095e-09,5.621106787981582e-07,0.0
Ptchd4,2.1280156236856804,1.0863479962489497,9.700659373741768e-09,5.732790550605542e-07,0.0
Man1c1,-3.0192666889578867,3.540139360047245,1.0556137743302847e-08,6.18386846403527e-07,0.0
Npas2,-2.974799582425124,2.3695625338014583,1.0510536551276779e-08,6.18386846403527e-07,0.0
Dlk2,4.851672009458245,2.666851440439728,1.0649011280769854e-08,6.211151579631635e-07,0.0
Rbbp8nl,-1.81498844707371,1.000939426674451,1.080510317997644e-08,6.274911651921383e-07,0.0
Traf5,3.9728952211984128,2.7719683744375647,1.0965896434388332e-08,6.340840546005149e-07,0.0
Serpinb6b,4.227307629242763,3.1674096529160525,1.1204478728194416e-08,6.368986531302038e-07,0.0
Camk1d,3.3949392388646293,2.215753803634396,1.117639920852764e-08,6.368986531302038e-07,0.0
Nlgn3,1.4202837371360149,0.8618672364807903,1.1166358346169846e-08,6.368986531302038e-07,0.0
Tenm2,6.3769599578631215,4.0198790361641334,1.1100373655594955e-08,6.368986531302038e-07,0.0
Dram1,2.244515651014779,2.703566929348645,1.1354325513001922e-08,6.426931508730836e-07,0.0
Gmfg,-1.8632478348048416,1.287150199629579,1.1470006849146779e-08,6.449169820076066e-07,0.0
Gmds,-2.2058693650816292,4.420169660344546,1.1489762109565263e-08,6.449169820076066e-07,0.0
Bmp7,5.099791188663234,3.7669369546652027,1.158043563965243e-08,6.472981004414056e-07,0.0
Wnt6,5.791027496699324,3.1184848963661644,1.188201915786462e-08,6.613995311317589e-07,0.0
Htr1d,5.208822381776692,3.1285881661875816,1.1947668702649904e-08,6.623056844878036e-07,0.0
Ark2c,2.0203552586705857,1.1689018570075809,1.2111440688613975e-08,6.662830615687828e-07,0.0
Smdt1,-0.850278324093078,5.0944150272404904,1.2118752666625641e-08,6.662830615687828e-07,0.0
Srcin1,-3.7572587198511203,2.8894291670125054,1.2248873627819044e-08,6.69337634653511e-07,0.0
Antxr1,5.87072907019733,5.829081226808738,1.2274100493832555e-08,6.69337634653511e-07,0.0
Lrrc8b,-2.49194137055022,3.654362261043735,1.2380240134852667e-08,6.723923943686176e-07,0.0
Rasef,-4.909847349305949,3.724911327370522,1.2615884888232084e-08,6.824278055469088e-07,0.0
Slc28a3,-5.943233472188556,6.467378021566152,1.3097516437260457e-08,7.056352731158596e-07,0.0
F730043M19Rik,2.4194861798467304,1.4724511213477969,1.315394957689704e-08,7.058409342962951e-07,0.0
Bdh1,-3.1322268263094393,4.353488009816189,1.3220677337926538e-08,7.065951652919701e-07,0.0
Tshz3,1.8737513456422266,1.1085216106432758,1.3669368004696665e-08,7.276768721547848e-07,0.0
C030048H21Rik,5.354145239182924,2.7988586763359877,1.3982839865767523e-08,7.414221217362502e-07,0.0
Hmcn1,6.173487483201227,3.8509776195195964,1.4359598826614897e-08,7.584016466891293e-07,0.0
St3gal2,4.389903088742765,3.0478257431431452,1.4496675839777228e-08,7.617549231810739e-07,0.0
Tmprss13,-4.816368821462659,3.9288349025724703,1.4590302755473586e-08,7.617549231810739e-07,0.0
Ccdc8,2.9466481413219863,1.7036641105027386,1.4593441316253148e-08,7.617549231810739e-07,0.0
Ripor2,5.516477801159283,3.785817244284446,1.4903386166481882e-08,7.74918315594397e-07,0.0
Slc35a3,-1.1576335532027686,5.2929867445895775,1.6088014084184725e-08,8.332845904993749e-07,0.0
Mef2c,5.4018564031195675,3.4591585466381773,1.6155811106053702e-08,8.335777153373477e-07,0.0
Dpf1,1.8873749047429538,1.1187554548446543,1.634082961616442e-08,8.354060676983271e-07,0.0
Muc20,-4.219816253964187,3.343182552807493,1.6378069012647037e-08,8.354060676983271e-07,0.0
Tenm3,4.1957139500691225,2.238853297316417,1.6260460137536752e-08,8.354060676983271e-07,0.0
Cyp2j9,3.3421355067144978,1.7997806961576321,1.6962600407963777e-08,8.619442593667958e-07,0.0
Syngr3,1.4965792686972665,0.9057877840162036,1.758574382430335e-08,8.850146085788682e-07,0.0
Vwa1,5.670975885927907,5.303321095501234,1.7494770623903047e-08,8.850146085788682e-07,0.0
Mien1,-1.7698233162843655,4.899136100758402,1.76145285494266e-08,8.850146085788682e-07,0.0
